ID_INT,GENDER,AGE,MOTIVATION,ORI_ZONE,DEP_HOUR,DST_ZONE,ARR_HOUR
8363368,2,4,4,Q006,02/02/17 11:30:00,Q007,02/02/17 11:45:00
8364274,1,2,7,Q008,02/02/17 21:30:00,Q001,02/02/17 21:40:00
8366215,2,4,4,Q001,02/02/17 11:30:00,Q006,02/02/17 12:30:00
8366470,1,3,2,Q003,02/02/17 16:00:00,Q009,02/02/17 16:30:00
8366692,2,2,9,Q002,02/02/17 18:00:00,Q001,02/02/17 18:30:00
8366899,2,2,7,Q001,02/02/17 11:30:00,Q001,02/02/17 11:35:00
8366899,2,2,7,Q001,02/02/17 12:10:00,Q001,02/02/17 12:30:00
8367166,2,2,7,Q001,02/02/17 13:00:00,Q001,02/02/17 13:15:00
8367166,2,2,1,Q001,02/02/17 14:15:00,Q001,02/02/17 14:30:00
8368222,2,4,4,Q001,02/02/17 16:00:00,Q022,02/02/17 16:15:00
8368476,2,2,4,Q006,02/02/17 13:30:00,Q006,02/02/17 13:40:00
8420884,2,3,1,Q008,02/02/17 08:00:00,Q001,02/02/17 08:40:00
8420921,1,4,9,Q010,02/02/17 09:00:00,Q013,02/02/17 09:20:00
8420921,1,4,7,Q013,02/02/17 17:30:00,Q010,02/02/17 17:45:00
8421494,2,3,4,Q002,02/02/17 14:00:00,Q013,02/02/17 14:15:00
8421767,2,2,4,Q005,02/02/17 16:40:00,Q001,02/02/17 17:00:00
8422649,2,1,7,Q001,02/02/17 16:30:00,Q002,02/02/17 16:40:00
8425805,1,2,4,Q010,02/02/17 11:00:00,Q013,02/02/17 11:45:00
8426957,1,3,4,Q001,02/02/17 10:30:00,Q001,02/02/17 10:40:00
8426957,1,3,1,Q001,02/02/17 11:00:00,Q013,02/02/17 11:10:00
8427425,1,3,2,Q013,02/02/17 10:30:00,Q022,02/02/17 10:40:00
8430380,1,2,7,Q009,02/02/17 17:50:00,Q009,02/02/17 18:00:00
8473462,1,2,2,Q001,02/02/17 12:00:00,Q011,02/02/17 12:40:00
8556140,2,2,5,Q003,02/02/17 16:15:00,Q013,02/02/17 16:25:00
8556627,2,1,4,Q007,02/02/17 13:00:00,Q006,02/02/17 13:30:00
8556627,2,1,4,Q006,02/02/17 14:00:00,Q001,02/02/17 14:30:00
8556715,2,2,1,Q016,02/02/17 07:35:00,Q020,02/02/17 08:00:00
8559138,1,3,4,Q001,02/02/17 11:00:00,Q020,02/02/17 11:15:00
8559138,1,3,4,Q020,02/02/17 11:30:00,Q001,02/02/17 11:45:00
8559138,1,3,4,Q001,02/02/17 14:00:00,Q001,02/02/17 14:15:00
8559482,2,3,9,Q012,02/02/17 13:00:00,Q013,02/02/17 13:20:00
8559482,2,3,1,Q013,02/02/17 15:00:00,Q012,02/02/17 15:20:00
8559743,1,2,2,Q013,02/02/17 12:00:00,Q016,02/02/17 12:20:00
8559743,1,2,2,Q016,02/02/17 14:00:00,Q016,02/02/17 14:15:00
8559893,2,2,2,Q015,02/02/17 15:00:00,Q004,02/02/17 15:25:00
8559893,2,2,1,Q004,02/02/17 17:00:00,Q015,02/02/17 17:25:00
8560311,1,1,7,Q009,02/02/17 14:00:00,Q014,02/02/17 14:10:00
8560966,2,2,4,Q023,02/02/17 10:00:00,Q011,02/02/17 10:20:00
8570742,1,2,4,Q008,02/02/17 16:00:00,Q008,02/02/17 16:10:00
8572158,1,1,7,Q001,02/02/17 12:30:00,Q001,02/02/17 12:40:00
8572158,1,1,3,Q001,02/02/17 13:20:00,Q001,02/02/17 13:30:00
8572437,1,2,7,Q006,02/02/17 17:30:00,Q003,02/02/17 18:00:00
8572576,2,4,5,Q010,02/02/17 10:30:00,Q009,02/02/17 11:00:00
8572576,2,4,5,Q009,02/02/17 14:00:00,Q010,02/02/17 14:15:00
8586175,1,2,5,Q001,02/02/17 18:00:00,Q003,02/02/17 18:25:00
8588799,1,2,2,Q023,02/02/17 16:00:00,Q020,02/02/17 16:40:00
8667127,2,2,4,Q023,02/02/17 17:30:00,Q001,02/02/17 18:00:00
8729222,2,2,4,Q014,02/02/17 18:00:00,Q014,02/02/17 18:10:00
8730106,1,2,9,Q017,02/02/17 17:00:00,Q014,02/02/17 17:30:00
8730408,1,2,7,Q010,02/02/17 15:00:00,Q011,02/02/17 15:15:00
8731836,1,2,4,Q023,02/02/17 13:00:00,Q010,02/02/17 13:10:00
8731836,1,2,1,Q010,02/02/17 14:00:00,Q023,02/02/17 14:10:00
8824718,2,4,4,Q015,02/02/17 10:00:00,Q016,02/02/17 10:10:00
8824854,1,3,2,Q001,02/02/17 07:40:00,Q001,02/02/17 07:50:00
8824854,1,3,4,Q001,02/02/17 16:00:00,Q001,02/02/17 16:15:00
8824926,1,2,7,Q007,02/02/17 16:00:00,Q001,02/02/17 16:30:00
8825082,1,3,4,Q006,02/02/17 16:40:00,Q005,02/02/17 17:00:00
8825161,1,3,7,Q001,02/02/17 18:20:00,Q008,02/02/17 18:50:00
8825332,2,3,5,Q017,02/02/17 16:15:00,Q009,02/02/17 16:25:00
8826033,1,2,1,Q001,02/02/17 09:50:00,Q001,02/02/17 10:00:00
8826538,1,2,4,Q007,02/02/17 16:30:00,Q019,02/02/17 16:40:00
8827059,1,2,4,Q017,02/02/17 10:00:00,Q017,02/02/17 10:10:00
8827059,1,2,1,Q017,02/02/17 11:00:00,Q017,02/02/17 11:10:00
8974199,1,3,4,Q017,02/02/17 10:40:00,Q001,02/02/17 10:50:00
8976069,2,3,5,Q012,02/02/17 10:50:00,Q009,02/02/17 11:10:00
7262504,1,3,2,Q018,02/02/17 15:00:00,Q005,02/02/17 15:30:00
7452865,2,1,7,Q001,02/02/17 11:00:00,Q001,02/02/17 11:15:00
7454004,2,1,9,Q001,02/02/17 13:00:00,Q001,02/02/17 13:15:00
7454004,2,1,3,Q001,02/02/17 15:00:00,Q008,02/02/17 15:30:00
7454004,2,1,9,Q008,02/02/17 17:00:00,Q001,02/02/17 17:30:00
8160278,2,4,6,Q001,02/02/17 16:35:00,Q006,02/02/17 16:45:00
8170116,1,3,4,Q001,02/02/17 09:00:00,Q001,02/02/17 09:10:00
8170116,1,3,4,Q001,02/02/17 10:30:00,Q010,02/02/17 10:45:00
8304333,1,3,2,Q001,02/02/17 10:10:00,Q001,02/02/17 10:30:00
8304333,1,3,1,Q001,02/02/17 11:30:00,Q001,02/02/17 11:50:00
8305125,2,3,7,Q001,02/02/17 12:15:00,Q008,02/02/17 12:25:00
8305125,2,3,9,Q008,02/02/17 14:30:00,Q010,02/02/17 14:50:00
8305454,1,4,2,Q009,02/02/17 10:00:00,Q012,02/02/17 10:15:00
8377694,1,2,3,Q002,02/02/17 11:30:00,Q002,02/02/17 11:40:00
8377694,1,2,3,Q002,02/02/17 13:40:00,Q001,02/02/17 14:00:00
8381563,1,3,7,Q001,02/02/17 12:20:00,Q009,02/02/17 12:35:00
8151491,2,3,4,Q014,02/02/17 11:30:00,Q005,02/02/17 11:45:00
8151491,2,3,1,Q005,02/02/17 12:00:00,Q005,02/02/17 12:15:00
8152386,2,1,7,Q005,02/02/17 12:00:00,Q001,02/02/17 12:20:00
8155005,1,3,4,Q013,02/02/17 09:30:00,Q001,02/02/17 09:45:00
8155100,1,4,4,Q022,02/02/17 14:50:00,Q013,02/02/17 15:05:00
8155559,1,2,9,Q023,02/02/17 14:50:00,Q001,02/02/17 15:30:00
8155831,1,4,4,Q013,02/02/17 18:30:00,Q014,02/02/17 18:45:00
8282821,1,3,2,Q009,02/02/17 12:15:00,Q014,02/02/17 12:30:00
8283408,2,2,4,Q009,02/02/17 16:30:00,Q001,02/02/17 16:50:00
8284866,2,2,1,Q013,02/02/17 08:00:00,Q004,02/02/17 08:10:00
8285135,1,2,6,Q009,02/02/17 15:40:00,Q005,02/02/17 15:55:00
8287336,2,2,1,Q012,02/02/17 13:00:00,Q022,02/02/17 13:15:00
8329897,2,2,1,Q002,02/02/17 07:25:00,Q009,02/02/17 07:30:00
8329897,2,2,5,Q009,02/02/17 17:30:00,Q002,02/02/17 17:35:00
8330663,1,3,9,Q010,02/02/17 10:40:00,Q010,02/02/17 10:45:00
8330663,1,3,5,Q010,02/02/17 16:00:00,Q023,02/02/17 16:15:00
8330663,1,3,5,Q023,02/02/17 20:30:00,Q010,02/02/17 20:45:00
8332197,1,2,9,Q001,02/02/17 15:00:00,Q013,02/02/17 15:20:00
8333166,2,2,4,Q018,02/02/17 16:00:00,Q007,02/02/17 16:15:00
8333166,2,2,9,Q007,02/02/17 16:30:00,Q006,02/02/17 16:45:00
8334337,2,1,4,Q010,02/02/17 14:50:00,Q001,02/02/17 15:10:00
8351868,1,3,5,Q007,02/02/17 17:45:00,Q007,02/02/17 18:00:00
8357232,1,2,2,Q003,02/02/17 10:00:00,Q017,02/02/17 10:30:00
8359052,2,1,7,Q010,02/02/17 13:00:00,Q010,02/02/17 13:30:00
8359052,2,1,3,Q010,02/02/17 15:00:00,Q010,02/02/17 15:20:00
8360982,1,1,7,Q006,02/02/17 14:00:00,Q006,02/02/17 14:10:00
8462059,2,2,4,Q017,02/02/17 09:30:00,Q017,02/02/17 09:45:00
8463293,1,3,2,Q001,02/02/17 10:15:00,Q001,02/02/17 10:25:00
8463293,1,3,1,Q001,02/02/17 13:20:00,Q001,02/02/17 13:30:00
8463394,1,3,4,Q001,02/02/17 10:15:00,Q007,02/02/17 10:30:00
8463623,1,3,4,Q016,02/02/17 16:00:00,Q014,02/02/17 16:30:00
8464373,1,4,5,Q006,02/02/17 11:50:00,Q008,02/02/17 12:00:00
8464373,1,4,7,Q008,02/02/17 17:25:00,Q022,02/02/17 17:30:00
8464373,1,4,5,Q022,02/02/17 17:35:00,Q001,02/02/17 17:50:00
8464641,2,4,5,Q001,02/02/17 11:50:00,Q001,02/02/17 12:00:00
8575245,2,2,2,Q001,02/02/17 15:30:00,Q005,02/02/17 15:50:00
8575610,1,3,4,Q003,02/02/17 17:00:00,Q014,02/02/17 17:20:00
8576239,1,3,4,Q016,02/02/17 17:45:00,Q009,02/02/17 18:00:00
8576239,1,3,7,Q009,02/02/17 18:30:00,Q016,02/02/17 18:45:00
8576977,1,3,1,Q001,02/02/17 08:00:00,Q016,02/02/17 08:15:00
8577238,2,2,4,Q006,02/02/17 15:45:00,Q016,02/02/17 16:00:00
8578018,2,2,4,Q001,02/02/17 17:50:00,Q003,02/02/17 18:00:00
8578855,1,3,5,Q017,02/02/17 11:00:00,Q003,02/02/17 11:15:00
8790516,1,2,4,Q010,02/02/17 12:00:00,Q019,02/02/17 12:30:00
8790961,2,3,6,Q003,02/02/17 17:00:00,Q014,02/02/17 17:15:00
7263374,2,4,7,Q015,02/02/17 15:00:00,Q015,02/02/17 15:30:00
7263374,2,4,8,Q015,02/02/17 18:00:00,Q015,02/02/17 18:30:00
7263375,1,2,7,Q017,02/02/17 23:30:00,Q001,02/02/17 23:40:00
7263375,1,2,11,Q001,02/02/17 03:45:00,Q017,02/02/17 04:00:00
7263377,2,2,1,Q001,02/02/17 08:30:00,Q005,02/02/17 09:00:00
7263377,2,2,8,Q005,02/02/17 16:40:00,Q001,02/02/17 16:55:00
7263377,2,2,4,Q001,02/02/17 17:30:00,Q001,02/02/17 17:40:00
7263377,2,2,8,Q001,02/02/17 18:10:00,Q001,02/02/17 18:20:00
7263378,2,1,3,Q014,02/02/17 07:30:00,Q008,02/02/17 08:00:00
7263378,2,1,3,Q008,02/02/17 14:00:00,Q001,02/02/17 14:30:00
7263378,2,1,8,Q001,02/02/17 17:30:00,Q014,02/02/17 18:00:00
7263379,2,2,5,Q023,02/02/17 12:30:00,Q023,02/02/17 12:35:00
7263379,2,2,8,Q023,02/02/17 13:35:00,Q023,02/02/17 13:40:00
7263380,2,1,3,Q017,02/02/17 07:00:00,Q003,02/02/17 08:00:00
7263380,2,1,8,Q003,02/02/17 14:00:00,Q017,02/02/17 15:00:00
7263381,1,4,9,Q006,02/02/17 12:30:00,Q006,02/02/17 12:45:00
7263381,1,4,8,Q006,02/02/17 16:45:00,Q006,02/02/17 17:00:00
7263382,2,2,1,Q003,02/02/17 06:40:00,Q008,02/02/17 07:10:00
7263382,2,2,8,Q008,02/02/17 14:20:00,Q003,02/02/17 15:00:00
7263386,1,1,3,Q013,02/02/17 07:00:00,Q017,02/02/17 08:00:00
7263386,1,1,8,Q017,02/02/17 13:00:00,Q013,02/02/17 13:45:00
7263387,1,3,4,Q016,02/02/17 14:00:00,Q006,02/02/17 14:20:00
7263387,1,3,8,Q006,02/02/17 16:40:00,Q016,02/02/17 17:00:00
7263388,2,2,5,Q013,02/02/17 21:00:00,Q004,02/02/17 21:20:00
7263388,2,2,8,Q004,02/02/17 23:00:00,Q013,02/02/17 23:30:00
7263391,2,2,1,Q006,02/02/17 06:30:00,Q003,02/02/17 06:55:00
7263391,2,2,8,Q003,02/02/17 14:15:00,Q006,02/02/17 15:00:00
7263392,2,3,4,Q021,02/02/17 08:00:00,Q001,02/02/17 08:30:00
7263392,2,3,8,Q001,02/02/17 13:00:00,Q021,02/02/17 13:30:00
7263394,2,4,4,Q019,02/02/17 10:00:00,Q019,02/02/17 10:30:00
7263394,2,4,8,Q019,02/02/17 11:30:00,Q019,02/02/17 12:00:00
7263395,2,3,1,Q012,02/02/17 08:00:00,Q023,02/02/17 08:15:00
7263395,2,3,4,Q023,02/02/17 16:00:00,Q006,02/02/17 16:30:00
7263395,2,3,5,Q006,02/02/17 17:45:00,Q014,02/02/17 17:50:00
7263395,2,3,8,Q014,02/02/17 17:55:00,Q012,02/02/17 18:00:00
7263396,2,4,7,Q014,02/02/17 09:00:00,Q013,02/02/17 09:30:00
7263396,2,4,8,Q013,02/02/17 09:40:00,Q014,02/02/17 10:00:00
7263396,2,4,4,Q014,02/02/17 10:15:00,Q014,02/02/17 10:25:00
7263396,2,4,8,Q014,02/02/17 11:45:00,Q014,02/02/17 12:00:00
7263396,2,4,7,Q014,02/02/17 17:00:00,Q014,02/02/17 17:15:00
7263396,2,4,8,Q014,02/02/17 17:20:00,Q014,02/02/17 17:30:00
7263399,1,3,6,Q014,02/02/17 14:00:00,Q013,02/02/17 14:10:00
7263399,1,3,8,Q013,02/02/17 16:45:00,Q014,02/02/17 17:00:00
7263400,2,4,7,Q018,02/02/17 10:50:00,Q018,02/02/17 11:00:00
7263400,2,4,8,Q018,02/02/17 12:10:00,Q018,02/02/17 12:40:00
7263400,2,4,7,Q018,02/02/17 16:30:00,Q020,02/02/17 17:00:00
7263400,2,4,8,Q020,02/02/17 17:30:00,Q018,02/02/17 18:00:00
7263403,1,2,1,Q009,02/02/17 06:30:00,Q009,02/02/17 07:00:00
7263403,1,2,8,Q009,02/02/17 14:30:00,Q009,02/02/17 15:00:00
7263404,2,2,4,Q003,02/02/17 14:00:00,Q003,02/02/17 14:07:00
7263404,2,2,8,Q003,02/02/17 16:55:00,Q003,02/02/17 17:00:00
7263407,2,1,3,Q017,02/02/17 07:10:00,Q001,02/02/17 07:45:00
7263407,2,1,8,Q001,02/02/17 13:05:00,Q017,02/02/17 13:45:00
7263408,1,1,3,Q023,02/02/17 07:30:00,Q012,02/02/17 08:00:00
7263408,1,1,8,Q012,02/02/17 13:35:00,Q023,02/02/17 13:45:00
7263412,2,1,7,Q001,02/02/17 14:00:00,Q001,02/02/17 14:10:00
7263412,2,1,8,Q001,02/02/17 16:50:00,Q001,02/02/17 17:00:00
7263414,1,3,4,Q005,02/02/17 14:25:00,Q001,02/02/17 14:35:00
7263414,1,3,8,Q001,02/02/17 16:50:00,Q005,02/02/17 17:00:00
7263415,2,4,4,Q011,02/02/17 12:00:00,Q011,02/02/17 12:10:00
7263415,2,4,8,Q011,02/02/17 14:00:00,Q011,02/02/17 14:15:00
7263416,2,2,1,Q016,02/02/17 07:50:00,Q007,02/02/17 08:00:00
7263416,2,2,8,Q007,02/02/17 13:35:00,Q016,02/02/17 13:45:00
7263417,2,2,6,Q020,02/02/17 07:30:00,Q009,02/02/17 08:10:00
7263417,2,2,8,Q009,02/02/17 12:30:00,Q020,02/02/17 13:00:00
7263417,2,2,4,Q020,02/02/17 15:10:00,Q019,02/02/17 15:20:00
7263417,2,2,8,Q019,02/02/17 17:40:00,Q020,02/02/17 18:00:00
7263418,2,4,4,Q009,02/02/17 16:00:00,Q009,02/02/17 16:15:00
7263418,2,4,8,Q009,02/02/17 17:50:00,Q009,02/02/17 18:00:00
7263421,1,4,6,Q004,02/02/17 09:00:00,Q003,02/02/17 09:25:00
7263421,1,4,8,Q003,02/02/17 13:00:00,Q004,02/02/17 13:30:00
7263422,1,2,1,Q016,02/02/17 07:30:00,Q012,02/02/17 08:00:00
7263422,1,2,8,Q012,02/02/17 13:00:00,Q016,02/02/17 13:30:00
7263422,1,2,1,Q016,02/02/17 14:00:00,Q012,02/02/17 14:30:00
7263422,1,2,8,Q012,02/02/17 17:30:00,Q016,02/02/17 18:00:00
7263425,2,2,1,Q003,02/02/17 07:30:00,Q006,02/02/17 08:00:00
7263425,2,2,8,Q006,02/02/17 17:30:00,Q003,02/02/17 18:00:00
7263427,1,2,1,Q019,02/02/17 07:30:00,Q001,02/02/17 08:20:00
7263427,1,2,8,Q001,02/02/17 17:15:00,Q019,02/02/17 18:00:00
7263429,1,2,6,Q006,02/02/17 07:30:00,Q006,02/02/17 07:40:00
7263429,1,2,1,Q006,02/02/17 08:00:00,Q006,02/02/17 08:15:00
7263429,1,2,5,Q006,02/02/17 17:15:00,Q014,02/02/17 17:30:00
7263429,1,2,8,Q014,02/02/17 17:45:00,Q006,02/02/17 18:00:00
7263431,2,2,8,Q006,02/02/17 19:25:00,Q004,02/02/17 19:40:00
7263432,2,1,3,Q017,02/02/17 07:10:00,Q001,02/02/17 07:55:00
7263432,2,1,8,Q001,02/02/17 13:00:00,Q017,02/02/17 13:50:00
7263435,1,1,3,Q015,02/02/17 07:30:00,Q014,02/02/17 07:50:00
7263435,1,1,8,Q014,02/02/17 13:30:00,Q015,02/02/17 13:55:00
7263436,2,2,1,Q009,02/02/17 07:30:00,Q001,02/02/17 08:30:00
7263436,2,2,8,Q001,02/02/17 17:00:00,Q009,02/02/17 18:00:00
7263437,2,2,7,Q001,02/02/17 12:05:00,Q001,02/02/17 12:20:00
7263437,2,2,8,Q001,02/02/17 13:40:00,Q001,02/02/17 13:55:00
7263438,2,4,4,Q013,02/02/17 10:00:00,Q013,02/02/17 10:07:00
7263438,2,4,8,Q013,02/02/17 11:25:00,Q013,02/02/17 11:30:00
7263439,1,2,5,Q007,02/02/17 13:15:00,Q007,02/02/17 13:30:00
7263439,1,2,8,Q007,02/02/17 13:40:00,Q007,02/02/17 13:55:00
7263440,2,4,1,Q021,02/02/17 09:30:00,Q006,02/02/17 09:45:00
7263440,2,4,2,Q006,02/02/17 11:00:00,Q013,02/02/17 11:15:00
7263440,2,4,1,Q013,02/02/17 12:00:00,Q006,02/02/17 12:05:00
7263440,2,4,8,Q006,02/02/17 17:50:00,Q021,02/02/17 18:00:00
7263442,1,4,6,Q015,02/02/17 14:00:00,Q006,02/02/17 14:20:00
7263442,1,4,8,Q006,02/02/17 17:40:00,Q015,02/02/17 18:00:00
7263447,1,3,7,Q006,02/02/17 18:00:00,Q001,02/02/17 18:20:00
7263447,1,3,8,Q001,02/02/17 19:40:00,Q006,02/02/17 20:00:00
7263448,1,2,1,Q016,02/02/17 08:20:00,Q007,02/02/17 08:50:00
7263448,1,2,8,Q007,02/02/17 18:00:00,Q016,02/02/17 18:20:00
7263451,1,2,1,Q010,02/02/17 04:30:00,Q009,02/02/17 04:45:00
7263451,1,2,8,Q009,02/02/17 13:50:00,Q010,02/02/17 14:00:00
7263452,1,3,4,Q011,02/02/17 15:05:00,Q011,02/02/17 15:15:00
7263452,1,3,8,Q011,02/02/17 16:50:00,Q011,02/02/17 17:00:00
7263453,2,2,1,Q019,02/02/17 07:30:00,Q007,02/02/17 08:05:00
7263453,2,2,8,Q007,02/02/17 17:15:00,Q019,02/02/17 18:00:00
7263454,2,2,1,Q002,02/02/17 05:10:00,Q003,02/02/17 05:30:00
7263454,2,2,8,Q003,02/02/17 14:30:00,Q002,02/02/17 15:00:00
7263457,2,2,4,Q001,02/02/17 11:00:00,Q001,02/02/17 11:10:00
7263457,2,2,8,Q001,02/02/17 12:40:00,Q001,02/02/17 13:00:00
7263457,2,2,5,Q001,02/02/17 15:00:00,Q008,02/02/17 15:15:00
7263457,2,2,8,Q008,02/02/17 15:45:00,Q001,02/02/17 16:00:00
7263460,2,2,1,Q018,02/02/17 07:30:00,Q020,02/02/17 07:35:00
7263460,2,2,8,Q020,02/02/17 17:55:00,Q018,02/02/17 18:00:00
7263461,1,2,1,Q023,02/02/17 07:30:00,Q009,02/02/17 08:00:00
7263461,1,2,8,Q009,02/02/17 17:30:00,Q023,02/02/17 18:00:00
7263463,2,3,7,Q005,02/02/17 08:15:00,Q005,02/02/17 08:40:00
7263463,2,3,8,Q005,02/02/17 11:30:00,Q005,02/02/17 12:00:00
7263463,2,3,4,Q005,02/02/17 12:45:00,Q009,02/02/17 13:10:00
7263463,2,3,8,Q009,02/02/17 17:00:00,Q005,02/02/17 17:30:00
7263467,1,2,1,Q008,02/02/17 05:00:00,Q012,02/02/17 05:20:00
7263467,1,2,8,Q012,02/02/17 14:30:00,Q008,02/02/17 15:00:00
7263469,1,2,1,Q009,02/02/17 04:35:00,Q001,02/02/17 05:05:00
7263469,1,2,8,Q001,02/02/17 14:30:00,Q009,02/02/17 15:00:00
7263470,1,1,3,Q019,02/02/17 07:20:00,Q019,02/02/17 07:45:00
7263470,1,1,8,Q019,02/02/17 17:30:00,Q019,02/02/17 18:00:00
7263472,1,4,7,Q010,02/02/17 10:00:00,Q010,02/02/17 10:15:00
7263472,1,4,8,Q010,02/02/17 12:45:00,Q010,02/02/17 13:00:00
7263478,1,2,1,Q013,02/02/17 06:15:00,Q014,02/02/17 06:25:00
7263478,1,2,8,Q014,02/02/17 13:50:00,Q013,02/02/17 14:00:00
7263479,2,2,1,Q022,02/02/17 07:15:00,Q014,02/02/17 07:50:00
7263479,2,2,8,Q014,02/02/17 17:00:00,Q022,02/02/17 18:00:00
7263481,2,1,3,Q007,02/02/17 07:00:00,Q007,02/02/17 07:10:00
7263481,2,1,8,Q007,02/02/17 13:00:00,Q007,02/02/17 13:20:00
7263481,2,1,7,Q007,02/02/17 20:00:00,Q001,02/02/17 20:15:00
7263481,2,1,8,Q001,02/02/17 21:45:00,Q007,02/02/17 22:00:00
7263484,1,2,2,Q005,02/02/17 11:15:00,Q001,02/02/17 11:30:00
7263484,1,2,2,Q001,02/02/17 11:40:00,Q005,02/02/17 11:50:00
7263484,1,2,8,Q005,02/02/17 12:20:00,Q014,02/02/17 12:30:00
7263489,1,2,1,Q001,02/02/17 08:00:00,Q002,02/02/17 08:30:00
7263489,1,2,8,Q002,02/02/17 11:50:00,Q001,02/02/17 12:05:00
7263489,1,2,1,Q001,02/02/17 14:00:00,Q002,02/02/17 14:15:00
7263489,1,2,8,Q002,02/02/17 15:40:00,Q001,02/02/17 16:00:00
7263494,1,1,3,Q005,02/02/17 09:40:00,Q002,02/02/17 10:20:00
7263494,1,1,8,Q002,02/02/17 14:00:00,Q005,02/02/17 14:40:00
